ID_Elemento;Nombre;Manzana_Bloque;Tipologia;Area_m2;Dimensiones;Precio_S/;Distancia_Oasis_m;Distancia_Cochera_m;Estado
L263;Lote 263;M25;Lote Estándar;158,11;12.21m x 13.04m;18973;88;39;Disponible
L264;Lote 264;M25;Lote Estándar;158,54;12.23m x 13.05m;19025;88;52;Disponible
L265;Lote 265;M25;Lote Estándar;158,90;12.23m x 13.09m;19068;88;64;Disponible
L266;Lote 266;M25;Lote Estándar;159,48;12.23m x 13.14m;19138;88;76;Disponible
L267;Lote 267;M25;Lote Estándar;160,24;12.23m x 13.20m;19229;89;88;Disponible
L268;Lote 268;M26;Lote Estándar;160,06;12.12m x 13.30m;19207;91;105;Disponible
L269;Lote 269;M26;Lote Estándar;160,61;12.12m x 13.34m;19273;92;117;Disponible
L270;Lote 270;M26;Lote Estándar;160,83;12.12m x 13.36m;19300;93;129;Disponible
L271;Lote 271;M26;Lote Estándar;161,04;12.12m x 13.38m;19325;93;142;Disponible
L272;Lote 272;M26;Lote Estándar;161,26;12.12m x 13.39m;19351;93;145;Disponible
L273;Lote 273;M26;Lote Estándar;161,48;12.12m x 13.41m;19378;93;145;Disponible
L274;Lote 274;M26;Lote Estándar;161,70;12.12m x 13.43m;19404;94;145;Disponible
L275;Lote 275;M26;Lote Estándar;161,91;12.12m x 13.45m;19429;94;145;Disponible
L276;Lote 276;M26;Lote Estándar;162,13;12.12m x 13.46m;19456;94;145;Disponible
L277;Lote 277;M26;Lote Estándar;162,35;12.12m x 13.48m;19482;94;134;Disponible
L278;Lote 278;M27;Lote Estándar;168,95;12.59m x 13.49m;20274;94;116;Disponible
L279;Lote 279;M27;Lote Estándar;168,54;12.59m x 13.45m;20225;93;104;Disponible
L280;Lote 280;M27;Lote Estándar;168,04;12.59m x 13.42m;20165;92;91;Disponible
L281;Lote 281;M27;Lote Estándar;167,67;12.59m x 13.39m;20120;91;79;Disponible
L282;Lote 282;M27;Lote Estándar;167,69;12.60m x 13.38m;20123;91;66;Disponible
L283;Lote 283;M27;Lote Estándar;167,78;12.60m x 13.40m;20134;90;53;Disponible
L284;Lote 284;M27;Lote Estándar;168,12;12.60m x 13.43m;20174;90;41;Disponible
